open_time,open,high,low,close,volume
2021-01-12 07:00:00,36060.5,36060.5,35807.9,35815.6,10.423
2021-01-12 07:05:00,35815.5,35939.5,35717.3,35722.0,9.339
2021-01-12 07:10:00,35715.6,35849.5,35715.6,35723.4,3.884
2021-01-12 07:15:00,35735.1,35735.1,35720.0,35727.6,1.684
2021-01-12 07:20:00,35727.2,35850.0,35714.0,35831.6,3.474
2021-01-12 07:25:00,35834.2,35883.6,35759.3,35794.4,4.056
2021-01-12 07:30:00,35837.0,35879.9,35837.0,35869.7,1.814
2021-01-12 07:35:00,35870.6,36246.7,35869.4,36227.5,2.284
2021-01-12 07:40:00,36257.5,36615.1,36257.5,36590.3,2.422
2021-01-12 07:45:00,36523.4,36535.6,36418.1,36466.1,1.541
2021-01-12 07:50:00,36478.3,36526.0,36391.5,36402.9,1.514
2021-01-12 07:55:00,36508.8,36508.8,36372.8,36433.4,2.468
2021-01-12 08:00:00,36453.3,36496.1,36070.3,36070.3,2.071
2021-01-12 08:05:00,36106.7,36162.9,36015.4,36059.3,2.349
2021-01-12 08:10:00,36058.4,36229.4,36058.4,36108.3,2.77
2021-01-12 08:15:00,36111.3,36172.2,35836.1,35846.4,3.229
2021-01-12 08:20:00,35830.9,35902.2,35813.5,35880.2,3.215
2021-01-12 08:25:00,35877.3,36095.4,35823.8,36095.4,3.186
2021-01-12 08:30:00,36070.2,36098.5,35938.4,35969.1,2.174
2021-01-12 08:35:00,35953.2,36301.5,35948.0,36222.2,3.328
2021-01-12 08:40:00,36251.8,36276.9,36161.4,36171.7,2.006
2021-01-12 08:45:00,36177.1,36177.1,35510.8,35690.1,3.927
2021-01-12 08:50:00,35649.0,35791.3,35636.6,35768.5,3.069
2021-01-12 08:55:00,35796.3,35846.7,35726.2,35778.9,2.869
2021-01-12 09:00:00,35787.8,35886.9,35494.3,35586.1,3.105
2021-01-12 09:05:00,35534.9,35803.0,35482.2,35803.0,2.927
2021-01-12 09:10:00,35795.2,35985.8,35795.2,35922.5,2.794
2021-01-12 09:15:00,35923.2,36013.4,35748.5,35872.7,3.097
2021-01-12 09:20:00,35871.7,35871.7,35642.4,35692.8,2.613
2021-01-12 09:25:00,35724.0,35838.4,35675.8,35829.0,2.496
2021-01-12 09:30:00,35796.5,36113.2,35796.5,36058.6,2.488
2021-01-12 09:35:00,36064.1,36130.2,36019.4,36019.4,2.008
